NOMBRE,DIRECCION,LATITUD,LONGITUD,CIUDAD,PROVINCIA,PAIS
La Anonima,Yrigoyen 76 y 25 de Mayo,-427646463,-650349625,PUERTO MADRYN,CHUBUT,ARGENTINA
Chango Mas,Juan B Justo 1885,-427847881,-650327662,PUERTO MADRYN,CHUBUT,ARGENTINA
Carrefour,Av Gales 1315,-427754822,-650487155,PUERTO MADRYN,CHUBUT,ARGENTINA
Supermercado Vea,Manuel Belgrano 370,-427682944,-650383914,PUERTO MADRYN,CHUBUT,ARGENTINA
Frutillita,Francisco Luis Albarracín 2179,-427815649,-650625841,PUERTO MADRYN,CHUBUT,ARGENTINA
Carrefour Express,Luis Piedrabuena y Av Gales,-427772811,-650488298,PUERTO MADRYN,CHUBUT,ARGENTINA
La Anonima,Jujuy 1330,-427805146,-650447228,PUERTO MADRYN,CHUBUT,ARGENTINA
Supermercado Clemente,'Marcelo T de Alvear 2561,-427873708,-650292663,PUERTO MADRYN,CHUBUT,ARGENTINA
Lara S.A Mayorista Golosinas,Luis Piedrabuena 445,-427740793,-650491849,PUERTO MADRYN,CHUBUT,ARGENTINA
Patagonia Sin Tacc,Reconquista 526,-427773024,-650043724,PUERTO MADRYN,CHUBUT,ARGENTINA
Supermercado Holas,Av Julio Argentino Roca 1970,-427825763,-650240565,PUERTO MADRYN,CHUBUT,ARGENTINA
Veterino,Soldado Desconocido 1059,-427841035,-650592667,PUERTO MADRYN,CHUBUT,ARGENTINA
